ID;PRC;DT_ENTD_PRC;RESULTADO
733;O;13/07/2020;1500
734;A;14/07/2020;979
735;B;14/07/2020;486
736;C;14/07/2020;539
737;D;14/07/2020;282
738;E;14/07/2020;389
739;F;14/07/2020;333
740;G;14/07/2020;1229
741;H;14/07/2020;419
742;I;14/07/2020;373
743;J;14/07/2020;1760
744;K;14/07/2020;1317
745;L;14/07/2020;1316
746;M;14/07/2020;705
747;N;14/07/2020;1131
748;O;14/07/2020;941
749;A;15/07/2020;1189
750;B;15/07/2020;613
751;C;15/07/2020;1403
752;D;15/07/2020;226
753;E;15/07/2020;392
754;F;15/07/2020;390
755;G;15/07/2020;1118
756;H;15/07/2020;449
757;I;15/07/2020;420
758;J;15/07/2020;1950
759;K;15/07/2020;1034
760;L;15/07/2020;14
761;M;15/07/2020;728
762;N;15/07/2020;802
763;O;15/07/2020;831
764;A;16/07/2020;1163
765;B;16/07/2020;587
766;C;16/07/2020;756
767;D;16/07/2020;236
768;E;16/07/2020;389
769;F;16/07/2020;395
770;G;16/07/2020;1055
771;H;16/07/2020;353
772;I;16/07/2020;420
773;J;16/07/2020;2062
774;K;16/07/2020;1117
775;L;16/07/2020;5
776;M;16/07/2020;642
777;N;16/07/2020;759
778;O;16/07/2020;821
779;A;17/07/2020;1066
780;B;17/07/2020;569
781;C;17/07/2020;484
782;D;17/07/2020;183
783;E;17/07/2020;329
784;F;17/07/2020;391
785;G;17/07/2020;1013
786;H;17/07/2020;365
787;I;17/07/2020;358
788;J;17/07/2020;1847
789;K;17/07/2020;829
790;M;17/07/2020;578
791;N;17/07/2020;750
792;O;17/07/2020;707
793;A;20/07/2020;1207
794;B;20/07/2020;492
795;C;20/07/2020;451
796;D;20/07/2020;193
797;E;20/07/2020;343
798;F;20/07/2020;333
799;G;20/07/2020;1142
800;H;20/07/2020;375
801;I;20/07/2020;441
802;J;20/07/2020;1804
803;K;20/07/2020;932
804;L;20/07/2020;315
805;M;20/07/2020;417
806;N;20/07/2020;645
807;O;20/07/2020;1110
808;A;21/07/2020;905
809;B;21/07/2020;390
810;C;21/07/2020;417
811;D;21/07/2020;246
812;E;21/07/2020;355
813;F;21/07/2020;415
814;G;21/07/2020;1055
815;H;21/07/2020;399
816;I;21/07/2020;426
817;J;21/07/2020;1907
818;K;21/07/2020;1239
819;L;21/07/2020;26
820;M;21/07/2020;469
821;N;21/07/2020;802
822;O;21/07/2020;1198
823;A;22/07/2020;1390
824;B;22/07/2020;683
825;C;22/07/2020;517
826;D;22/07/2020;237
827;E;22/07/2020;363
828;F;22/07/2020;5
829;G;22/07/2020;1132
830;H;22/07/2020;426
831;I;22/07/2020;432
832;J;22/07/2020;1866
833;K;22/07/2020;848
834;L;22/07/2020;19
835;M;22/07/2020;489
